"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000036001","195","","","100"
"","2900000036002","195","","","100"
"","2900000036003","195","","","100"
"","2900000036004","195","","","100"
"","2900000036005","195","","","100"
"","2900000036006","195","","","100"
"","2900000036007","195","","","100"
"","2900000036008","195","","","100"
"","2900000036009","195","","","100"
"","2900000036010","195","","","100"
"","2900000036011","195","","","100"
"","2900000036012","195","","","100"
"","2900000036013","195","","","100"
"","2900000036014","195","","","100"
"","2900000036015","195","","","100"
"","2900000036016","195","","","100"
"","2900000036017","195","","","100"
"","2900000036018","195","","","100"
"","2900000036019","195","","","100"
"","2900000036020","195","","","100"
"","2900000036021","195","","","100"
"","2900000036022","195","","","100"
"","2900000036023","195","","","100"
"","2900000036024","195","","","100"
"","2900000036025","195","","","100"
"","2900000036026","195","","","100"
"","2900000036027","195","","","100"
"","2900000036028","195","","","100"
"","2900000036029","195","","","100"
"","2900000036030","195","","","100"
"","2900000036031","195","","","100"
"","2900000036032","195","","","100"
"","2900000036033","195","","","100"
"","2900000036034","195","","","100"
"","2900000036035","195","","","100"
"","2900000036036","195","","","100"
"","2900000036037","195","","","100"
"","2900000036038","195","","","100"
"","2900000036039","195","","","100"
"","2900000036040","195","","","100"
"","2900000036041","195","","","100"
"","2900000036042","195","","","100"
"","2900000036043","195","","","100"
"","2900000036044","195","","","100"
"","2900000036045","195","","","100"
"","2900000036046","195","","","100"
"","2900000036047","195","","","100"
"","2900000036048","195","","","100"
"","2900000036049","195","","","100"
"","2900000036050","195","","","100"
"","2900000036051","195","","","100"
"","2900000036052","195","","","100"
"","2900000036053","195","","","100"
"","2900000036054","195","","","100"
"","2900000036055","195","","","100"
"","2900000036056","195","","","100"
"","2900000036057","195","","","100"
"","2900000036058","195","","","100"
"","2900000036059","195","","","100"
"","2900000036060","195","","","100"
"","2900000036061","195","","","100"
"","2900000036062","195","","","100"
"","2900000036063","195","","","100"
"","2900000036064","195","","","100"
"","2900000036065","195","","","100"
"","2900000036066","195","","","100"
"","2900000036067","195","","","100"
"","2900000036068","195","","","100"
"","2900000036069","195","","","100"
"","2900000036070","195","","","100"
"","2900000036071","195","","","100"
"","2900000036072","195","","","100"
"","2900000036073","195","","","100"
"","2900000036074","195","","","100"
"","2900000036075","195","","","100"
"","2900000036076","195","","","100"
"","2900000036077","195","","","100"
"","2900000036078","195","","","100"
"","2900000036079","195","","","100"
"","2900000036080","195","","","100"
"","2900000036081","195","","","100"
"","2900000036082","195","","","100"
"","2900000036083","195","","","100"
"","2900000036084","195","","","100"
"","2900000036085","195","","","100"
"","2900000036086","195","","","100"
"","2900000036087","195","","","100"
"","2900000036088","195","","","100"
"","2900000036089","195","","","100"
"","2900000036090","195","","","100"
"","2900000036091","195","","","100"
"","2900000036092","195","","","100"
"","2900000036093","195","","","100"
"","2900000036094","195","","","100"
"","2900000036095","195","","","100"
"","2900000036096","195","","","100"
"","2900000036097","195","","","100"
"","2900000036098","195","","","100"
"","2900000036099","195","","","100"
"","2900000036100","195","","","100"
"","2900000036101","195","","","100"
"","2900000036102","195","","","100"
"","2900000036103","195","","","100"
"","2900000036104","195","","","100"
"","2900000036105","195","","","100"
"","2900000036106","195","","","100"
"","2900000036107","195","","","100"
"","2900000036108","195","","","100"
"","2900000036109","195","","","100"
"","2900000036110","195","","","100"
"","2900000036111","195","","","100"
"","2900000036112","195","","","100"
"","2900000036113","195","","","100"
"","2900000036114","195","","","100"
"","2900000036115","195","","","100"
"","2900000036116","195","","","100"
"","2900000036117","195","","","100"
"","2900000036118","195","","","100"
"","2900000036119","195","","","100"
"","2900000036120","195","","","100"
"","2900000036121","195","","","100"
"","2900000036122","195","","","100"
