"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000032001","195","","","100"
"","2900000032002","195","","","100"
"","2900000032003","195","","","100"
"","2900000032004","195","","","100"
"","2900000032005","195","","","100"
"","2900000032006","195","","","100"
"","2900000032007","195","","","100"
"","2900000032008","195","","","100"
"","2900000032009","195","","","100"
"","2900000032010","195","","","100"
"","2900000032011","195","","","100"
"","2900000032012","195","","","100"
"","2900000032013","195","","","100"
"","2900000032014","195","","","100"
"","2900000032015","195","","","100"
"","2900000032016","195","","","100"
"","2900000032017","195","","","100"
"","2900000032018","195","","","100"
"","2900000032019","195","","","100"
"","2900000032020","195","","","100"
"","2900000032021","195","","","100"
"","2900000032022","195","","","100"
"","2900000032023","195","","","100"
"","2900000032024","195","","","100"
"","2900000032025","195","","","100"
"","2900000032026","195","","","100"
"","2900000032027","195","","","100"
"","2900000032028","195","","","100"
"","2900000032029","195","","","100"
"","2900000032030","195","","","100"
"","2900000032031","195","","","100"
"","2900000032032","195","","","100"
"","2900000032033","195","","","100"
"","2900000032034","195","","","100"
"","2900000032035","195","","","100"
"","2900000032036","195","","","100"
"","2900000032037","195","","","100"
"","2900000032038","195","","","100"
"","2900000032039","195","","","100"
"","2900000032040","195","","","100"
"","2900000032041","195","","","100"
"","2900000032042","195","","","100"
"","2900000032043","195","","","100"
"","2900000032044","195","","","100"
"","2900000032045","195","","","100"
"","2900000032046","195","","","100"
"","2900000032047","195","","","100"
"","2900000032048","195","","","100"
"","2900000032049","195","","","100"
"","2900000032050","195","","","100"
