"アイテムID(NC)","アイテムコード","名称","代表画像ファイル名(NC)","説明","素材","サイズHTML","表示順","アイテム表示可否","納期(日)","配送コメント","最低数量","アイテムプラットフォームプリセット","アイテム個体ID","カラーID","カラー名称(NC)","カラー表示順","サイズID","サイズ名称(NC)","3DモデルID","3Dモデル名称(NC)","アイテム個体表示可否","アイテム個体プラットフォームプリセット","ベンダー名(ベンダー情報)","アイテム型番(ベンダー情報)","カラー名(ベンダー情報)","カラーコード(ベンダー情報)","サイズ名(ベンダー情報)","JAN(ベンダー情報)","価格(ベンダー情報)"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","5018","","","","1","0","（仮）","5010-01","ホワイト","0001","S","2900000032001","1750"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","5018","","","","1","0","（仮）","5010-01","ブラック","0002","S","2900000032002","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6241","ミックスグレー","3","5018","","","","1","0","（仮）","5010-01","ミックスグレー","0006","S","2900000032003","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6058","チャコール","4","5018","","","","1","0","（仮）","5010-01","チャコール","0007","S","2900000032004","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6063","ナチュラル","5","5018","","","","1","0","（仮）","5010-01","ナチュラル","0019","S","2900000032005","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","6","5018","","","","1","0","（仮）","5010-01","ネイビー","0086","S","2900000032006","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6080","アシッドブルー","7","5018","","","","1","0","（仮）","5010-01","アシッドブルー","0247","S","2900000032007","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6258","サンドカーキ","8","5018","","","","1","0","（仮）","5010-01","サンドカーキ","0537","S","2900000032008","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6260","バイオレットパープル","9","5018","","","","1","0","（仮）","5010-01","バイオレットパープル","0539","S","2900000032009","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6268","ライトオリーブ","10","5018","","","","1","0","（仮）","5010-01","ライトオリーブ","0739","S","2900000032010","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","5019","","","","1","0","（仮）","5010-01","ホワイト","0001","M","2900000032011","1750"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","5019","","","","1","0","（仮）","5010-01","ブラック","0002","M","2900000032012","1980"
"13569","5010-01","5010-01 5.6オンス ロングスリーブ Tシャツ","","United Athle 5010-01。5.6オンス ロングスリーブ Tシャツ。","綿100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6241","ミックスグレー","3","5019","","","","1","0","（仮）","5010-01","ミックスグレー","0006","M","2900000032013","1980"
