"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000035001","195","","","100"
"","2900000035002","195","","","100"
"","2900000035003","195","","","100"
"","2900000035004","195","","","100"
"","2900000035005","195","","","100"
"","2900000035006","195","","","100"
"","2900000035007","195","","","100"
"","2900000035008","195","","","100"
"","2900000035009","195","","","100"
"","2900000035010","195","","","100"
"","2900000035011","195","","","100"
"","2900000035012","195","","","100"
"","2900000035013","195","","","100"
"","2900000035014","195","","","100"
"","2900000035015","195","","","100"
"","2900000035016","195","","","100"
"","2900000035017","195","","","100"
"","2900000035018","195","","","100"
"","2900000035019","195","","","100"
"","2900000035020","195","","","100"
"","2900000035021","195","","","100"
"","2900000035022","195","","","100"
"","2900000035023","195","","","100"
"","2900000035024","195","","","100"
"","2900000035025","195","","","100"
"","2900000035026","195","","","100"
"","2900000035027","195","","","100"
"","2900000035028","195","","","100"
"","2900000035029","195","","","100"
"","2900000035030","195","","","100"
"","2900000035031","195","","","100"
"","2900000035032","195","","","100"
"","2900000035033","195","","","100"
"","2900000035034","195","","","100"
"","2900000035035","195","","","100"
"","2900000035036","195","","","100"
"","2900000035037","195","","","100"
"","2900000035038","195","","","100"
"","2900000035039","195","","","100"
"","2900000035040","195","","","100"
"","2900000035041","195","","","100"
"","2900000035042","195","","","100"
"","2900000035043","195","","","100"
"","2900000035044","195","","","100"
"","2900000035045","195","","","100"
"","2900000035046","195","","","100"
"","2900000035047","195","","","100"
"","2900000035048","195","","","100"
"","2900000035049","195","","","100"
"","2900000035050","195","","","100"
"","2900000035051","195","","","100"
"","2900000035052","195","","","100"
"","2900000035053","195","","","100"
"","2900000035054","195","","","100"
"","2900000035055","195","","","100"
"","2900000035056","195","","","100"
"","2900000035057","195","","","100"
"","2900000035058","195","","","100"
"","2900000035059","195","","","100"
"","2900000035060","195","","","100"
"","2900000035061","195","","","100"
"","2900000035062","195","","","100"
"","2900000035063","195","","","100"
"","2900000035064","195","","","100"
"","2900000035065","195","","","100"
"","2900000035066","195","","","100"
"","2900000035067","195","","","100"
"","2900000035068","195","","","100"
"","2900000035069","195","","","100"
"","2900000035070","195","","","100"
"","2900000035071","195","","","100"
"","2900000035072","195","","","100"
"","2900000035073","195","","","100"
"","2900000035074","195","","","100"
"","2900000035075","195","","","100"
"","2900000035076","195","","","100"
"","2900000035077","195","","","100"
"","2900000035078","195","","","100"
"","2900000035079","195","","","100"
"","2900000035080","195","","","100"
"","2900000035081","195","","","100"
"","2900000035082","195","","","100"
"","2900000035083","195","","","100"
"","2900000035084","195","","","100"
"","2900000035085","195","","","100"
"","2900000035086","195","","","100"
"","2900000035087","195","","","100"
"","2900000035088","195","","","100"
"","2900000035089","195","","","100"
"","2900000035090","195","","","100"
