"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000031001","195","","","100"
"","2900000031002","195","","","100"
"","2900000031003","195","","","100"
"","2900000031004","195","","","100"
"","2900000031005","195","","","100"
"","2900000031006","195","","","100"
"","2900000031007","195","","","100"
"","2900000031008","195","","","100"
"","2900000031009","195","","","100"
"","2900000031010","195","","","100"
"","2900000031011","195","","","100"
"","2900000031012","195","","","100"
"","2900000031013","195","","","100"
"","2900000031014","195","","","100"
"","2900000031015","195","","","100"
