"アイテムID(NC)","アイテムコード","名称","代表画像ファイル名(NC)","説明","素材","サイズHTML","表示順","アイテム表示可否","納期(日)","配送コメント","最低数量","アイテムプラットフォームプリセット","アイテム個体ID","カラーID","カラー名称(NC)","カラー表示順","サイズID","サイズ名称(NC)","3DモデルID","3Dモデル名称(NC)","アイテム個体表示可否","アイテム個体プラットフォームプリセット","ベンダー名(ベンダー情報)","アイテム型番(ベンダー情報)","カラー名(ベンダー情報)","カラーコード(ベンダー情報)","サイズ名(ベンダー情報)","JAN(ベンダー情報)","価格(ベンダー情報)"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","5018","","","","1","0","（仮）","2024-01","ホワイト","0001","S","2900000031001","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","5018","","","","1","0","（仮）","2024-01","ブラック","0002","S","2900000031002","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","3","5018","","","","1","0","（仮）","2024-01","ネイビー","0086","S","2900000031003","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","5019","","","","1","0","（仮）","2024-01","ホワイト","0001","M","2900000031004","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","5019","","","","1","0","（仮）","2024-01","ブラック","0002","M","2900000031005","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","3","5019","","","","1","0","（仮）","2024-01","ネイビー","0086","M","2900000031006","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","5020","","","","1","0","（仮）","2024-01","ホワイト","0001","L","2900000031007","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","5020","","","","1","0","（仮）","2024-01","ブラック","0002","L","2900000031008","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","3","5020","","","","1","0","（仮）","2024-01","ネイビー","0086","L","2900000031009","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","6047","","","","1","0","（仮）","2024-01","ホワイト","0001","XL","2900000031010","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","6047","","","","1","0","（仮）","2024-01","ブラック","0002","XL","2900000031011","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","3","6047","","","","1","0","（仮）","2024-01","ネイビー","0086","XL","2900000031012","2420"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6052","ホワイト","1","6048","","","","1","0","（仮）","2024-01","ホワイト","0001","XXL","2900000031013","2900"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6060","ブラック","2","6048","","","","1","0","（仮）","2024-01","ブラック","0002","XXL","2900000031014","2900"
"13568","2024-01","2024-01 4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）","","United Athle 2024-01。4.7オンス スペシャルドライカノコ ロングスリーブ ポロシャツ（ポケット付）（ローブリード）。","ポリエステル100%","S,M,L,XL,XXL","3","1","10","（仮）通常配送","1","0","","6087","ネイビー","3","6048","","","","1","0","（仮）","2024-01","ネイビー","0086","XXL","2900000031015","2900"
