"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000034001","195","","","100"
"","2900000034002","195","","","100"
"","2900000034003","195","","","100"
"","2900000034004","195","","","100"
"","2900000034005","195","","","100"
"","2900000034006","195","","","100"
"","2900000034007","195","","","100"
"","2900000034008","195","","","100"
"","2900000034009","195","","","100"
"","2900000034010","195","","","100"
"","2900000034011","195","","","100"
"","2900000034012","195","","","100"
"","2900000034013","195","","","100"
"","2900000034014","195","","","100"
"","2900000034015","195","","","100"
"","2900000034016","195","","","100"
"","2900000034017","195","","","100"
"","2900000034018","195","","","100"
"","2900000034019","195","","","100"
"","2900000034020","195","","","100"
"","2900000034021","195","","","100"
"","2900000034022","195","","","100"
"","2900000034023","195","","","100"
"","2900000034024","195","","","100"
"","2900000034025","195","","","100"
"","2900000034026","195","","","100"
"","2900000034027","195","","","100"
"","2900000034028","195","","","100"
"","2900000034029","195","","","100"
"","2900000034030","195","","","100"
"","2900000034031","195","","","100"
"","2900000034032","195","","","100"
"","2900000034033","195","","","100"
"","2900000034034","195","","","100"
"","2900000034035","195","","","100"
"","2900000034036","195","","","100"
"","2900000034037","195","","","100"
"","2900000034038","195","","","100"
"","2900000034039","195","","","100"
"","2900000034040","195","","","100"
"","2900000034041","195","","","100"
"","2900000034042","195","","","100"
"","2900000034043","195","","","100"
"","2900000034044","195","","","100"
"","2900000034045","195","","","100"
"","2900000034046","195","","","100"
"","2900000034047","195","","","100"
"","2900000034048","195","","","100"
"","2900000034049","195","","","100"
"","2900000034050","195","","","100"
"","2900000034051","195","","","100"
"","2900000034052","195","","","100"
"","2900000034053","195","","","100"
"","2900000034054","195","","","100"
"","2900000034055","195","","","100"
"","2900000034056","195","","","100"
"","2900000034057","195","","","100"
"","2900000034058","195","","","100"
"","2900000034059","195","","","100"
"","2900000034060","195","","","100"
"","2900000034061","195","","","100"
"","2900000034062","195","","","100"
"","2900000034063","195","","","100"
"","2900000034064","195","","","100"
"","2900000034065","195","","","100"
"","2900000034066","195","","","100"
"","2900000034067","195","","","100"
"","2900000034068","195","","","100"
"","2900000034069","195","","","100"
"","2900000034070","195","","","100"
"","2900000034071","195","","","100"
"","2900000034072","195","","","100"
"","2900000034073","195","","","100"
"","2900000034074","195","","","100"
"","2900000034075","195","","","100"
"","2900000034076","195","","","100"
"","2900000034077","195","","","100"
"","2900000034078","195","","","100"
"","2900000034079","195","","","100"
"","2900000034080","195","","","100"
"","2900000034081","195","","","100"
"","2900000034082","195","","","100"
"","2900000034083","195","","","100"
"","2900000034084","195","","","100"
"","2900000034085","195","","","100"
"","2900000034086","195","","","100"
"","2900000034087","195","","","100"
"","2900000034088","195","","","100"
"","2900000034089","195","","","100"
"","2900000034090","195","","","100"
