"在庫ID","JAN","拠点ID","プラットフォームプリセット","現在の数量(NC)","増減数量"
"","2900000033001","195","","","100"
"","2900000033002","195","","","100"
"","2900000033003","195","","","100"
"","2900000033004","195","","","100"
"","2900000033005","195","","","100"
"","2900000033006","195","","","100"
"","2900000033007","195","","","100"
"","2900000033008","195","","","100"
"","2900000033009","195","","","100"
"","2900000033010","195","","","100"
"","2900000033011","195","","","100"
"","2900000033012","195","","","100"
"","2900000033013","195","","","100"
"","2900000033014","195","","","100"
"","2900000033015","195","","","100"
"","2900000033016","195","","","100"
"","2900000033017","195","","","100"
"","2900000033018","195","","","100"
"","2900000033019","195","","","100"
"","2900000033020","195","","","100"
"","2900000033021","195","","","100"
"","2900000033022","195","","","100"
"","2900000033023","195","","","100"
"","2900000033024","195","","","100"
"","2900000033025","195","","","100"
"","2900000033026","195","","","100"
"","2900000033027","195","","","100"
"","2900000033028","195","","","100"
